music,loudness
14788.mp3,0.16665098
14950.mp3,0.12064449
14944.mp3,0.14663346
14978.mp3,0.12518175
14993.mp3,0.15844896
14987.mp3,0.17323443
14777.mp3,0.08512856
14763.mp3,0.26942962
14549.mp3,0.03817517
14575.mp3,0.11349526
14561.mp3,0.1140027
14398.mp3,0.031184254
15045.mp3,0.21095312
14429.mp3,0.107286386
14401.mp3,0.031171747
14415.mp3,0.11803221
14824.mp3,0.07298547
14830.mp3,0.06443855
14818.mp3,0.15884104
14603.mp3,0.24042624
14617.mp3,0.28334692
14616.mp3,0.28683355
14602.mp3,0.24022105
14819.mp3,0.16477185
14831.mp3,0.073380984
14825.mp3,0.082276314
14414.mp3,0.109816015
14400.mp3,0.033753894
14428.mp3,0.11518487
15044.mp3,0.20410125
14399.mp3,0.031196598
14560.mp3,0.10458326
14574.mp3,0.11255757
14548.mp3,0.038057152
14762.mp3,0.2622177
14776.mp3,0.04312735
14986.mp3,0.16696234
14992.mp3,0.16135642
14979.mp3,0.12903012
14945.mp3,0.097169645
14951.mp3,0.121570796
14789.mp3,0.06709394
14947.mp3,0.110858545
14953.mp3,0.12791897
14984.mp3,0.15215069
14990.mp3,0.16840822
14748.mp3,0.10872963
14760.mp3,0.28423187
14774.mp3,0.044106927
14589.mp3,0.10988306
14562.mp3,0.118441634
14576.mp3,0.11529309
14416.mp3,0.11122812
14402.mp3,0.02972038
14833.mp3,0.12998056
14827.mp3,0.08050181
14628.mp3,0.0776642
14614.mp3,0.28934434
14600.mp3,0.23775023
14601.mp3,0.23583907
14615.mp3,0.28633827
14629.mp3,0.10936613
14826.mp3,0.07321262
14832.mp3,0.07306745
14403.mp3,0.068590716
14417.mp3,0.10551292
14577.mp3,0.11525237
14563.mp3,0.114603534
14588.mp3,0.106542386
14775.mp3,0.04423402
14761.mp3,0.27269167
14749.mp3,0.101464085
14991.mp3,0.16542816
14985.mp3,0.15123254
14952.mp3,0.12310055
14946.mp3,0.10363699
14942.mp3,0.1496398
14956.mp3,0.12920795
14765.mp3,0.30865723
14771.mp3,0.04275759
14981.mp3,0.14746365
14759.mp3,0.30120358
14995.mp3,0.14950457
14598.mp3,0.23890886
14567.mp3,0.1170805
14573.mp3,0.11275136
14413.mp3,0.10475416
14375.mp3,0.106637105
14407.mp3,0.22794494
15043.mp3,0.18215448
14836.mp3,0.19953267
14822.mp3,0.067128345
14611.mp3,0.28062594
14605.mp3,0.24147452
14639.mp3,0.18773076
14638.mp3,0.15905645
14604.mp3,0.24369307
14610.mp3,0.2733781
14823.mp3,0.07318289
14837.mp3,0.26820177
15042.mp3,0.16443652
14406.mp3,0.19023673
14412.mp3,0.115235
14374.mp3,0.11067751
14572.mp3,0.117324896
14566.mp3,0.11496682
14599.mp3,0.23785308
14994.mp3,0.1539344
14758.mp3,0.3073041
14980.mp3,0.13865316
14770.mp3,0.041337315
14764.mp3,0.27836642
14957.mp3,0.13433945
14943.mp3,0.1375076
14969.mp3,0.083512336
14955.mp3,0.12681046
14799.mp3,0.14185856
14941.mp3,0.14514755
14772.mp3,0.043321535
14766.mp3,0.3083243
14996.mp3,0.14641605
14982.mp3,0.14885336
14570.mp3,0.12030794
14564.mp3,0.11021205
14558.mp3,0.074196495
14389.mp3,0.3268456
14404.mp3,0.10098334
14376.mp3,0.115334444
14410.mp3,0.23526332
14438.mp3,0.27558422
15040.mp3,0.11051653
14809.mp3,0.14505114
14821.mp3,0.07450119
14835.mp3,0.17056996
14606.mp3,0.24279396
14612.mp3,0.29323047
14613.mp3,0.28812093
14607.mp3,0.2422074
14834.mp3,0.14443095
14820.mp3,0.16692095
14808.mp3,0.15277103
14439.mp3,0.26636812
15041.mp3,0.13963516
14377.mp3,0.119198814
14411.mp3,0.22315644
14405.mp3,0.14310527
14388.mp3,0.31991896
14559.mp3,0.089591876
14565.mp3,0.11184989
14571.mp3,0.11819869
14983.mp3,0.15452655
14997.mp3,0.14151245
14767.mp3,0.30700737
14773.mp3,0.0431674
14940.mp3,0.15830629
14798.mp3,0.14588255
14954.mp3,0.12202581
14968.mp3,0.08909169
14933.mp3,0.18307585
14927.mp3,0.18117589
14728.mp3,0.08872852
14714.mp3,0.18068998
14700.mp3,0.17451876
14516.mp3,0.39481056
14502.mp3,0.40411094
14489.mp3,0.30106685
15026.mp3,0.25965303
15032.mp3,0.093695775
14462.mp3,0.08083258
14476.mp3,0.084987484
14847.mp3,0.42604166
14853.mp3,0.4975588
14884.mp3,0.15993147
14648.mp3,0.07620333
14890.mp3,0.017123362
14660.mp3,0.07456785
14674.mp3,0.08057914
14675.mp3,0.07525826
14661.mp3,0.070033565
14891.mp3,0.01736465
14649.mp3,0.07424175
14885.mp3,0.017750554
14852.mp3,0.48066908
14846.mp3,0.43164387
14477.mp3,0.27910504
14463.mp3,0.085454956
15033.mp3,0.09714031
15027.mp3,0.2526167
14488.mp3,0.30180618
14503.mp3,0.4109627
14517.mp3,0.399908
14701.mp3,0.17423767
14715.mp3,0.19664004
14729.mp3,0.090278134
14926.mp3,0.1828225
14932.mp3,0.18540964
14924.mp3,0.22908953
14930.mp3,0.18347546
14918.mp3,0.22155836
14703.mp3,0.1763488
14717.mp3,0.1979611
14529.mp3,0.05004952
14501.mp3,0.4022274
14515.mp3,0.39582348
14449.mp3,0.26656082
15031.mp3,0.08913173
15025.mp3,0.25379547
14475.mp3,0.07846139
15019.mp3,0.26300678
14461.mp3,0.072743684
14850.mp3,0.4362492
14688.mp3,0.17857386
14844.mp3,0.3919722
14878.mp3,0.1583767
14893.mp3,0.01779792
14887.mp3,0.01912625
14677.mp3,0.075663716
14663.mp3,0.07714262
14662.mp3,0.07274517
14676.mp3,0.07544059
14886.mp3,0.018101951
14892.mp3,0.016498415
14879.mp3,0.15331943
14845.mp3,0.4276935
14689.mp3,0.20404516
14851.mp3,0.46226504
15018.mp3,0.26586515
14460.mp3,0.058635615
14474.mp3,0.079426914
15024.mp3,0.25052106
