music,tempo,loudness,normalized_tempo,normalized_loudness
14788.mp3,80.74951172,0.16665098,0.31250000000483746,0.31212831004573366
14950.mp3,129.19921875,0.12064449,0.5,0.21649272783083146
14944.mp3,112.34714674,0.14663346,0.43478260869901736,0.2705170682470559
14978.mp3,143.5546875,0.12518175,0.5555555555555556,0.22592451673192754
14993.mp3,129.19921875,0.15844896,0.5,0.295078433864389
14987.mp3,117.45383523,0.17323443,0.45454545455600903,0.3258135982242645
14777.mp3,80.74951172,0.08512856,0.31250000000483746,0.14266430398337623
14763.mp3,123.046875,0.26942962,0.47619047619047616,0.5257784945230939
14549.mp3,112.34714674,0.03817517,0.43478260869901736,0.04506036180884028
14575.mp3,89.10290948,0.11349526,0.34482758619622067,0.20163132950554635
14561.mp3,112.34714674,0.1140027,0.43478260869901736,0.20268616589578456
14398.mp3,117.45383523,0.031184254,0.45454545455600903,0.030528057304074208
15045.mp3,117.45383523,0.21095312,0.45454545455600903,0.4042209898451729
14429.mp3,151.99908088,0.107286386,0.5882352941085411,0.18872468785805338
14401.mp3,129.19921875,0.031171747,0.5,0.030502058488977427
14415.mp3,151.99908088,0.11803221,0.5882352941085411,0.21106247399689748
14824.mp3,117.45383523,0.07298547,0.45454545455600903,0.11742196356492748
14830.mp3,80.74951172,0.06443855,0.31250000000483746,0.09965512957380598
14818.mp3,151.99908088,0.15884104,0.5882352941085411,0.2958934666798638
14603.mp3,117.45383523,0.24042624,0.45454545455600903,0.46548797610927783
14617.mp3,117.45383523,0.28334692,0.45454545455600903,0.5547089582111401
14616.mp3,123.046875,0.28683355,0.47619047619047616,0.5619567593369801
14602.mp3,117.45383523,0.24022105,0.45454545455600903,0.4650614392203589
14819.mp3,151.99908088,0.16477185,0.5882352941085411,0.3082220852585897
14831.mp3,80.74951172,0.073380984,0.31250000000483746,0.11824413477738349
14825.mp3,117.45383523,0.082276314,0.45454545455600903,0.13673522295958748
14414.mp3,151.99908088,0.109816015,0.5882352941085411,0.19398313166028003
14400.mp3,258.3984375,0.033753894,1.0,0.03586967361696182
14428.mp3,151.99908088,0.11518487,0.5882352941085411,0.20514359127700774
15044.mp3,215.33203125,0.20410125,0.8333333333333333,0.389977725977166
14399.mp3,184.5703125,0.031196598,0.7142857142857143,0.030553717284369605
14560.mp3,112.34714674,0.10458326,0.43478260869901736,0.18310558870899335
14574.mp3,89.10290948,0.11255757,0.34482758619622067,0.19968211475156072
14548.mp3,112.34714674,0.038057152,0.43478260869901736,0.04481503294019938
14762.mp3,92.28515625,0.2622177,0.35714285714285715,0.5107867799174525
14776.mp3,80.74951172,0.04312735,0.31250000000483746,0.055354661972425764
14986.mp3,117.45383523,0.16696234,0.45454545455600903,0.3127755468785898
14992.mp3,129.19921875,0.16135642,0.5,0.30112229049997535
14979.mp3,143.5546875,0.12903012,0.5555555555555556,0.23392428166788248
14945.mp3,129.19921875,0.097169645,0.5,0.167694602414622
14951.mp3,129.19921875,0.121570796,0.5,0.21841827819598986
14789.mp3,151.99908088,0.06709394,0.5882352941085411,0.1051749979371093
14947.mp3,129.19921875,0.110858545,0.5,0.1961502816325231
14953.mp3,129.19921875,0.12791897,0.5,0.2316144884804846
14984.mp3,143.5546875,0.15215069,0.5555555555555556,0.28198596107638335
14990.mp3,112.34714674,0.16840822,0.43478260869901736,0.31578115707864823
14748.mp3,123.046875,0.10872963,0.47619047619047616,0.1917248184965386
14760.mp3,172.265625,0.28423187,0.6666666666666666,0.5565485401588409
14774.mp3,80.74951172,0.044106927,0.31250000000483746,0.05739094895539984
14589.mp3,143.5546875,0.10988306,0.5555555555555556,0.19412250085818228
14562.mp3,112.34714674,0.118441634,0.43478260869901736,0.2119135604982314
14576.mp3,89.10290948,0.11529309,0.34482758619622067,0.20536855264022622
14416.mp3,151.99908088,0.11122812,0.5882352941085411,0.19691853237925627
14402.mp3,129.19921875,0.02972038,0.5,0.027485042236433582
14833.mp3,80.74951172,0.12998056,0.31250000000483746,0.23590000037105524
14827.mp3,117.45383523,0.08050181,0.45454545455600903,0.1330464885401029
14628.mp3,161.49902344,0.0776642,0.6250000000096749,0.12714783197123994
14614.mp3,123.046875,0.28934434,0.47619047619047616,0.5671760417353842
14600.mp3,117.45383523,0.23775023,0.45454545455600903,0.45992524410423025
14601.mp3,117.45383523,0.23583907,0.45454545455600903,0.45595243723924594
14615.mp3,117.45383523,0.28633827,0.45454545455600903,0.5609272004386725
14629.mp3,161.49902344,0.10936613,0.6250000000096749,0.19304793721478436
