video_filename,matched_music_filename,match_rank,video_score,music_score,score_difference
ACCEDE09785.mp4,14694.mp3,2,0.7739130434782608,0.7692307692456538,0.004682274232607031
ACCEDE09785.mp4,14691.mp3,3,0.7739130434782608,0.7692307692456538,0.004682274232607031
ACCEDE09791.mp4,15044.mp3,1,0.8463768115942029,0.8333333333333333,0.013043478260869601
ACCEDE09791.mp4,15043.mp3,2,0.8463768115942029,0.8333333333333333,0.013043478260869601
ACCEDE09791.mp4,15042.mp3,3,0.8463768115942029,0.8333333333333333,0.013043478260869601
ACCEDE09746.mp4,14695.mp3,1,0.7478260869565218,0.7692307692456538,0.02140468228913206
ACCEDE09746.mp4,14694.mp3,2,0.7478260869565218,0.7692307692456538,0.02140468228913206
ACCEDE09746.mp4,14691.mp3,3,0.7478260869565218,0.7692307692456538,0.02140468228913206
ACCEDE09752.mp4,14760.mp3,1,0.6463768115942029,0.6666666666666666,0.020289855072463725
ACCEDE09752.mp4,14628.mp3,2,0.6463768115942029,0.6250000000096749,0.021376811584527977
ACCEDE09752.mp4,14629.mp3,3,0.6463768115942029,0.6250000000096749,0.021376811584527977
ACCEDE09632.mp4,14760.mp3,1,0.6550724637681159,0.6666666666666666,0.011594202898550732
ACCEDE09632.mp4,14628.mp3,2,0.6550724637681159,0.6250000000096749,0.03007246375844097
ACCEDE09632.mp4,14629.mp3,3,0.6550724637681159,0.6250000000096749,0.03007246375844097
ACCEDE09626.mp4,14695.mp3,1,0.7623188405797101,0.7692307692456538,0.006911928665943701
ACCEDE09626.mp4,14694.mp3,2,0.7623188405797101,0.7692307692456538,0.006911928665943701
ACCEDE09626.mp4,14691.mp3,3,0.7623188405797101,0.7692307692456538,0.006911928665943701
ACCEDE09395.mp4,14978.mp3,1,0.5710144927536231,0.5555555555555556,0.015458937198067568
ACCEDE09395.mp4,14979.mp3,2,0.5710144927536231,0.5555555555555556,0.015458937198067568
ACCEDE09395.mp4,14984.mp3,3,0.5710144927536231,0.5555555555555556,0.015458937198067568
ACCEDE09381.mp4,14695.mp3,1,0.744927536231884,0.7692307692456538,0.0243032330137698
ACCEDE09381.mp4,14694.mp3,2,0.744927536231884,0.7692307692456538,0.0243032330137698
ACCEDE09381.mp4,14691.mp3,3,0.744927536231884,0.7692307692456538,0.0243032330137698
ACCEDE09418.mp4,14399.mp3,1,0.7014492753623188,0.7142857142857143,0.012836438923395477
ACCEDE09418.mp4,15026.mp3,2,0.7014492753623188,0.7142857142857143,0.012836438923395477
ACCEDE09418.mp4,15027.mp3,3,0.7014492753623188,0.7142857142857143,0.012836438923395477
ACCEDE09356.mp4,14695.mp3,1,0.7797101449275362,0.7692307692456538,0.010479375681882397
ACCEDE09356.mp4,14694.mp3,2,0.7797101449275362,0.7692307692456538,0.010479375681882397
ACCEDE09356.mp4,14691.mp3,3,0.7797101449275362,0.7692307692456538,0.010479375681882397
ACCEDE09430.mp4,14759.mp3,1,0.5333333333333333,0.5263157894675736,0.007017543865759701
ACCEDE09430.mp4,14407.mp3,2,0.5333333333333333,0.5263157894675736,0.007017543865759701
ACCEDE09430.mp4,14406.mp3,3,0.5333333333333333,0.5263157894675736,0.007017543865759701
ACCEDE09424.mp4,14429.mp3,1,0.5768115942028985,0.5882352941085411,0.011423699905642626
ACCEDE09424.mp4,14415.mp3,2,0.5768115942028985,0.5882352941085411,0.011423699905642626
ACCEDE09424.mp4,14818.mp3,3,0.5768115942028985,0.5882352941085411,0.011423699905642626
ACCEDE09342.mp4,15044.mp3,1,0.8115942028985508,0.8333333333333333,0.021739130434782483
ACCEDE09342.mp4,15043.mp3,2,0.8115942028985508,0.8333333333333333,0.021739130434782483
ACCEDE09342.mp4,15042.mp3,3,0.8115942028985508,0.8333333333333333,0.021739130434782483
ACCEDE09425.mp4,14649.mp3,1,0.2028985507246377,0.2127659574566893,0.009867406732051609
ACCEDE09425.mp4,14891.mp3,2,0.2028985507246377,0.2439024390385487,0.041003888313911
ACCEDE09425.mp4,14621.mp3,3,0.2028985507246377,0.1587301587301587,0.044168391994479
ACCEDE09343.mp4,14695.mp3,1,0.7478260869565218,0.7692307692456538,0.02140468228913206
ACCEDE09343.mp4,14694.mp3,2,0.7478260869565218,0.7692307692456538,0.02140468228913206
ACCEDE09343.mp4,14691.mp3,3,0.7478260869565218,0.7692307692456538,0.02140468228913206
ACCEDE09357.mp4,14944.mp3,1,0.4260869565217391,0.4347826086990173,0.00869565217727819
ACCEDE09357.mp4,14549.mp3,2,0.4260869565217391,0.4347826086990173,0.00869565217727819
ACCEDE09357.mp4,14561.mp3,3,0.4260869565217391,0.4347826086990173,0.00869565217727819
ACCEDE09431.mp4,14687.mp3,1,0.2579710144927536,0.2564102564281179,0.0015607580646357366
ACCEDE09431.mp4,14891.mp3,2,0.2579710144927536,0.2439024390385487,0.014068575454204924
